iter	Passed	Remaining
0	0	468
1	0	325
2	0	299
3	1	290
4	1	271
5	1	252
6	1	244
7	1	235
8	2	223
9	2	222
10	2	212
11	2	203
12	2	201
13	2	203
14	3	199
15	3	194
16	3	190
17	3	186
18	3	188
19	3	185
20	3	182
21	4	179
22	4	180
23	4	177
24	4	174
25	4	175
26	4	177
27	5	175
28	5	173
29	5	174
30	5	173
31	5	173
32	5	174
33	6	174
34	6	176
35	6	177
36	6	178
37	7	180
38	7	180
39	7	182
40	7	184
41	7	181
42	8	182
43	8	180
44	8	179
45	8	177
46	8	179
47	9	181
48	9	180
49	9	180
50	9	181
51	9	180
52	10	180
53	10	179
54	10	178
55	10	177
56	10	176
57	10	175
58	10	174
59	11	173
60	11	172
61	11	171
62	11	170
63	11	169
64	11	168
65	11	167
66	12	168
67	12	167
68	12	166
69	12	166
70	12	167
71	12	166
72	13	166
73	13	167
74	13	168
75	13	167
76	13	166
77	14	166
78	14	166
79	14	165
80	14	164
81	14	164
82	14	165
83	15	164
84	15	164
85	15	163
86	15	162
87	15	163
88	15	162
89	16	162
90	16	161
91	16	161
92	16	162
93	16	163
94	17	163
95	17	164
96	17	163
97	17	164
98	18	164
99	18	164
100	18	164
101	18	163
102	18	163
103	19	164
104	19	163
105	19	162
106	19	162
107	19	161
108	19	160
109	19	160
110	19	159
111	20	159
112	20	158
113	20	158
114	20	158
115	20	158
116	21	158
117	21	159
118	21	158
119	21	157
120	21	157
121	21	158
122	22	158
123	22	158
124	22	158
125	22	157
126	22	157
127	22	156
128	23	157
129	23	156
130	23	156
131	23	156
132	24	156
133	24	156
134	24	156
135	24	156
136	24	156
137	25	156
138	25	155
139	25	155
140	25	155
141	25	155
142	25	155
143	26	156
144	26	155
145	26	155
146	26	155
147	27	155
148	27	155
149	27	155
150	27	155
151	27	154
152	27	154
153	28	154
154	28	155
155	28	154
156	28	154
157	28	153
158	29	153
159	29	153
160	29	152
161	29	153
162	29	153
163	29	152
164	30	152
165	30	152
166	30	153
167	30	152
168	31	152
169	31	152
170	31	151
171	31	151
172	31	151
173	31	151
174	32	151
175	32	151
176	32	151
177	32	151
178	32	151
179	33	150
180	33	150
181	33	150
182	33	150
183	33	150
184	34	150
185	34	150
186	34	150
187	34	150
188	35	150
189	35	150
190	35	150
191	35	150
192	35	150
193	36	149
194	36	150
195	36	149
196	36	149
197	36	149
198	37	149
199	37	149
200	37	149
201	37	149
202	38	149
203	38	149
204	38	149
205	38	148
206	38	148
207	38	148
208	39	148
209	39	147
210	39	147
211	39	147
212	39	147
213	40	147
214	40	147
215	40	146
216	40	146
217	40	146
218	40	145
219	41	145
220	41	145
221	41	145
222	41	145
223	41	144
224	41	144
225	42	144
226	42	144
227	42	143
228	42	143
229	42	143
230	43	143
231	43	143
232	43	143
233	43	142
234	43	142
235	43	142
236	43	141
237	44	141
238	44	140
239	44	140
240	44	141
241	45	141
242	45	141
243	45	140
244	45	140
245	45	140
246	45	139
247	46	139
248	46	139
249	46	138
250	46	138
251	46	138
252	46	138
253	47	138
254	47	137
255	47	137
256	47	137
257	47	137
258	48	137
259	48	137
260	48	137
261	48	137
262	48	137
263	49	137
264	49	136
265	49	136
266	49	136
267	49	136
268	49	135
269	50	135
270	50	135
271	50	135
272	50	135
273	50	134
274	51	134
275	51	134
276	51	134
277	51	134
278	51	134
279	52	133
280	52	133
281	52	133
282	52	133
283	52	133
284	52	132
285	53	132
286	53	132
287	53	132
288	53	132
289	53	132
290	54	131
291	54	131
292	54	131
293	54	131
294	54	131
295	55	131
296	55	131
297	55	131
298	55	130
299	55	130
300	56	130
301	56	130
302	56	130
303	56	130
304	56	129
305	57	129
306	57	129
307	57	129
308	57	129
309	57	128
310	58	128
311	58	128
312	58	128
313	58	128
314	59	128
315	59	128
316	59	128
317	59	128
318	59	128
319	60	127
320	60	127
321	60	127
322	60	127
323	61	127
324	61	127
325	61	126
326	61	126
327	61	126
328	61	126
329	62	125
330	62	125
331	62	125
332	62	125
333	62	125
334	63	125
335	63	125
336	63	124
337	63	124
338	64	124
339	64	124
340	64	124
341	64	124
342	64	124
343	65	124
344	65	124
345	65	124
346	65	124
347	66	123
348	66	123
349	66	123
350	66	123
351	66	123
352	67	123
353	67	123
354	67	123
355	67	122
356	68	122
357	68	122
358	68	122
359	68	122
360	69	122
361	69	122
362	69	122
363	69	121
364	70	121
365	70	121
366	70	121
367	70	121
368	71	121
369	71	121
370	71	121
371	71	121
372	72	121
373	72	121
374	72	121
375	72	120
376	73	120
377	73	120
378	73	120
379	73	120
380	74	120
381	74	120
382	74	120
383	74	120
384	75	120
385	75	119
386	75	119
387	75	119
388	76	119
389	76	119
390	76	119
391	76	119
392	76	118
393	77	118
394	77	118
395	77	118
396	78	118
397	78	118
398	78	118
399	78	118
400	79	118
401	79	118
402	79	117
403	79	117
404	80	117
405	80	117
406	80	117
407	80	117
408	80	117
409	81	116
410	81	116
411	81	116
412	82	116
413	82	116
414	82	116
415	82	116
416	83	116
417	83	115
418	83	115
419	83	115
420	84	115
421	84	115
422	84	115
423	84	115
424	84	114
425	85	114
426	85	114
427	85	114
428	85	114
429	86	114
430	86	114
431	86	113
432	86	113
433	87	113
434	87	113
435	87	113
436	87	113
437	88	113
438	88	113
439	88	112
440	88	112
441	89	112
442	89	112
443	89	112
444	90	112
445	90	112
446	90	112
447	90	111
448	91	111
449	91	111
450	91	111
451	91	111
452	92	111
453	92	111
454	92	110
455	92	110
456	93	110
457	93	110
458	93	110
459	93	110
460	94	110
461	94	109
462	94	109
463	94	109
464	95	109
465	95	109
466	95	109
467	95	108
468	96	108
469	96	108
470	96	108
471	96	108
472	97	108
473	97	108
474	97	107
475	97	107
476	98	107
477	98	107
478	98	107
479	98	107
480	99	106
481	99	106
482	99	106
483	99	106
484	100	106
485	100	106
486	100	105
487	100	105
488	101	105
489	101	105
490	101	105
491	101	105
492	102	104
493	102	104
494	102	104
495	102	104
496	103	104
497	103	104
498	103	104
499	103	103
500	104	103
501	104	103
502	104	103
503	104	103
504	105	103
505	105	102
506	105	102
507	105	102
508	106	102
509	106	102
510	106	102
511	106	101
512	107	101
513	107	101
514	107	101
515	108	101
516	108	101
517	108	100
518	108	100
519	108	100
520	109	100
521	109	100
522	109	100
523	109	99
524	110	99
525	110	99
526	110	99
527	110	99
528	111	99
529	111	98
530	111	98
531	111	98
532	112	98
533	112	98
534	112	97
535	112	97
536	113	97
537	113	97
538	113	97
539	113	97
540	114	96
541	114	96
542	114	96
543	114	96
544	115	96
545	115	95
546	115	95
547	115	95
548	116	95
549	116	95
550	116	95
551	116	94
552	117	94
553	117	94
554	117	94
555	117	94
556	118	93
557	118	93
558	118	93
559	118	93
560	119	93
561	119	92
562	119	92
563	119	92
564	120	92
565	120	92
566	120	92
567	120	91
568	121	91
569	121	91
570	121	91
571	121	91
572	122	90
573	122	90
