iter	Passed	Remaining
574	122	90
575	122	90
576	123	90
577	123	90
578	123	89
579	123	89
580	124	89
581	124	89
582	124	89
583	124	88
584	125	88
585	125	88
586	125	88
587	125	88
588	126	87
589	126	87
590	126	87
591	126	87
592	127	87
593	127	87
594	127	86
595	127	86
596	128	86
597	128	86
598	128	86
599	128	85
600	129	85
601	129	85
602	129	85
603	129	85
604	130	84
605	130	84
606	130	84
607	130	84
608	131	84
609	131	83
610	131	83
611	131	83
612	132	83
613	132	83
614	132	82
615	132	82
616	132	82
617	133	82
618	133	82
619	133	81
620	133	81
621	134	81
622	134	81
623	134	81
624	134	80
625	135	80
626	135	80
627	135	80
628	135	80
629	136	80
630	136	79
631	136	79
632	136	79
633	137	79
634	137	78
635	137	78
636	137	78
637	138	78
638	138	78
639	138	78
640	138	77
641	139	77
642	139	77
643	139	77
644	139	77
645	140	76
646	140	76
647	140	76
648	140	76
649	141	76
650	141	75
651	141	75
652	141	75
653	142	75
654	142	75
655	142	74
656	143	74
657	143	74
658	143	74
659	143	74
660	143	73
661	144	73
662	144	73
663	144	73
664	144	73
665	145	72
666	145	72
667	145	72
668	145	72
669	146	71
670	146	71
671	146	71
672	146	71
673	147	71
674	147	70
675	147	70
676	147	70
677	148	70
678	148	70
679	148	69
680	148	69
681	148	69
682	149	69
683	149	69
684	149	68
685	149	68
686	150	68
687	150	68
688	150	68
689	150	67
690	151	67
691	151	67
692	151	67
693	151	66
694	152	66
695	152	66
696	152	66
697	152	66
698	153	65
699	153	65
700	153	65
701	153	65
702	154	65
703	154	64
704	154	64
705	154	64
706	155	64
707	155	64
708	155	63
709	155	63
710	156	63
711	156	63
712	156	62
713	156	62
714	157	62
715	157	62
716	157	62
717	157	61
718	157	61
719	158	61
720	158	61
721	158	61
722	158	60
723	159	60
724	159	60
725	159	60
726	159	60
727	160	59
728	160	59
729	160	59
730	160	59
731	161	59
732	161	58
733	161	58
734	161	58
735	162	58
736	162	57
737	162	57
738	163	57
739	163	57
740	163	57
741	163	56
742	163	56
743	164	56
744	164	56
745	164	56
746	164	55
747	165	55
748	165	55
749	165	55
750	165	55
751	166	54
752	166	54
753	166	54
754	166	54
755	167	53
756	167	53
757	167	53
758	167	53
759	168	53
760	168	52
761	168	52
762	168	52
763	169	52
764	169	52
765	169	51
766	169	51
767	170	51
768	170	51
769	170	50
770	170	50
771	171	50
772	171	50
773	171	50
774	171	49
775	172	49
776	172	49
777	172	49
778	172	49
779	173	48
780	173	48
781	173	48
782	173	48
783	174	47
784	174	47
785	174	47
786	174	47
787	175	47
788	175	46
789	175	46
790	175	46
791	176	46
792	176	46
793	176	45
794	176	45
795	177	45
796	177	45
797	177	44
798	177	44
799	177	44
800	178	44
801	178	44
802	178	43
803	179	43
804	179	43
805	179	43
806	179	42
807	179	42
808	180	42
809	180	42
810	180	42
811	180	41
812	181	41
813	181	41
814	181	41
815	181	41
816	182	40
817	182	40
818	182	40
819	182	40
820	183	39
821	183	39
822	183	39
823	183	39
824	184	39
825	184	38
826	184	38
827	184	38
828	185	38
829	185	37
830	185	37
831	185	37
832	186	37
833	186	37
834	186	36
835	186	36
836	187	36
837	187	36
838	187	35
839	187	35
840	188	35
841	188	35
842	188	35
843	188	34
844	189	34
845	189	34
846	189	34
847	189	34
848	190	33
849	190	33
850	190	33
851	190	33
852	191	32
853	191	32
854	191	32
855	191	32
856	192	32
857	192	31
858	192	31
859	192	31
860	193	31
861	193	30
862	193	30
863	193	30
864	193	30
865	194	30
866	194	29
867	194	29
868	194	29
869	195	29
870	195	28
871	195	28
872	195	28
873	196	28
874	196	28
875	196	27
876	197	27
877	197	27
878	197	27
879	197	26
880	198	26
881	198	26
882	198	26
883	198	26
884	199	25
885	199	25
886	199	25
887	199	25
888	200	24
889	200	24
890	200	24
891	200	24
892	201	24
893	201	23
894	201	23
895	202	23
896	202	23
897	202	22
898	202	22
899	202	22
900	203	22
901	203	22
902	203	21
903	203	21
904	204	21
905	204	21
906	204	20
907	204	20
908	205	20
909	205	20
910	205	20
911	205	19
912	206	19
913	206	19
914	206	19
915	206	18
916	207	18
917	207	18
918	207	18
919	207	18
920	208	17
921	208	17
922	208	17
923	208	17
924	209	16
925	209	16
926	209	16
927	209	16
928	210	16
929	210	15
930	210	15
931	210	15
932	211	15
933	211	14
934	211	14
935	211	14
936	212	14
937	212	14
938	212	13
939	213	13
940	213	13
941	213	13
942	213	12
943	214	12
944	214	12
945	214	12
946	214	12
947	215	11
948	215	11
949	215	11
950	215	11
951	216	10
952	216	10
953	216	10
954	216	10
955	216	9
956	217	9
957	217	9
958	217	9
959	217	9
960	218	8
961	218	8
962	218	8
963	218	8
964	219	7
965	219	7
966	219	7
967	219	7
968	220	7
969	220	6
970	220	6
971	220	6
972	221	6
973	221	5
974	221	5
975	221	5
976	222	5
977	222	5
978	223	4
979	223	4
980	223	4
981	223	4
982	224	3
983	224	3
984	224	3
985	224	3
986	225	2
987	225	2
988	225	2
989	225	2
990	225	2
991	226	1
992	226	1
993	226	1
994	226	1
995	227	0
996	227	0
997	227	0
998	227	0
999	228	0
