iter	RMSE
204	1513.823996
205	1512.880969
206	1511.535957
207	1510.435701
208	1508.180348
209	1506.601569
210	1504.765041
211	1502.969398
212	1501.472338
213	1500.893274
214	1499.14889
215	1498.160753
216	1496.475589
217	1494.934572
218	1494.36443
219	1492.443853
220	1490.87078
221	1489.783564
222	1487.82536
223	1486.260037
224	1485.118532
225	1483.689347
226	1482.246942
227	1481.250835
228	1480.001205
229	1478.799016
230	1477.407875
231	1475.835434
232	1474.656498
233	1473.300351
234	1471.988748
235	1471.019376
236	1470.153239
237	1469.722746
238	1468.617801
239	1467.362868
240	1466.427136
241	1465.163171
242	1464.464737
243	1464.060689
244	1462.849234
245	1461.630486
246	1460.481875
247	1459.303329
248	1458.231232
249	1457.055878
250	1455.976594
251	1454.858605
252	1453.607318
253	1452.446202
254	1451.593607
255	1450.492771
256	1449.415944
257	1448.104782
258	1447.772256
259	1446.710071
260	1445.698738
261	1445.203616
262	1444.220521
263	1442.963295
264	1442.085915
265	1441.482744
266	1440.6834
267	1439.758345
268	1439.461544
269	1438.547426
270	1437.676634
271	1436.699794
272	1435.843335
273	1434.94518
274	1434.485238
275	1433.583249
276	1432.861762
277	1432.00128
278	1430.9578
279	1430.326056
280	1429.493003
281	1428.861207
282	1428.184095
283	1427.519491
284	1426.927191
285	1426.290527
286	1425.488004
287	1424.768859
288	1423.863904
289	1423.107943
290	1422.19939
291	1421.392973
292	1420.728924
293	1419.808855
294	1419.059611
295	1418.190749
296	1417.468318
297	1416.828443
298	1416.211705
299	1415.72736
300	1415.02509
301	1414.273789
302	1413.619235
303	1412.964776
304	1412.513674
305	1411.952343
306	1411.299347
307	1410.518722
308	1409.826989
309	1409.409212
310	1408.637348
311	1408.061489
312	1407.613586
313	1406.9013
314	1406.301088
315	1405.706724
316	1405.011113
317	1404.842961
318	1404.376228
319	1403.69878
320	1403.021161
321	1402.364669
322	1401.809037
323	1401.224787
324	1400.804665
325	1400.18188
326	1399.864162
327	1399.385606
328	1398.948924
329	1398.591174
330	1398.035907
331	1397.460175
332	1397.015803
333	1396.608866
334	1396.031959
335	1395.599248
336	1395.138884
337	1394.648187
338	1394.314599
339	1393.994593
340	1393.662786
341	1393.349718
342	1392.816146
343	1392.444127
344	1392.053318
345	1391.743963
346	1391.327113
347	1390.883613
348	1390.473649
349	1390.063052
350	1389.596689
351	1389.216388
352	1388.745668
353	1388.363146
354	1387.922439
355	1387.612171
356	1387.222963
357	1386.802389
358	1386.445699
359	1386.092195
360	1385.838537
361	1385.426998
362	1385.05423
363	1384.719908
364	1384.334391
365	1384.059444
366	1383.737309
367	1383.496549
368	1383.186961
369	1383.009754
370	1382.659344
371	1382.353184
372	1381.989481
373	1381.64236
374	1381.301844
375	1380.965279
376	1380.74746
377	1380.527113
378	1380.202395
379	1379.990589
380	1379.704508
381	1379.392971
382	1379.106916
383	1378.832282
384	1378.532091
385	1378.235365
386	1378.040233
387	1377.750464
388	1377.523331
389	1377.27796
390	1376.99932
391	1376.724933
392	1376.493613
393	1376.262556
394	1376.000142
395	1375.775168
396	1375.519829
397	1375.289955
398	1375.119956
399	1374.873439
400	1374.616846
401	1374.408189
402	1374.171228
403	1373.968104
404	1373.76676
405	1373.540439
406	1373.344397
407	1373.192147
408	1372.972532
409	1372.756992
410	1372.571106
411	1372.348239
412	1372.134027
413	1371.954888
414	1371.777994
415	1371.639208
416	1371.442337
417	1371.248377
418	1371.080483
419	1370.905697
420	1370.741413
421	1370.579675
422	1370.397211
423	1370.2392
424	1370.061655
425	1369.907774
426	1369.735005
427	1369.565404
428	1369.418022
429	1369.252345
430	1369.077813
431	1368.905931
432	1368.73993
433	1368.602242
434	1368.448368
435	1368.333673
436	1368.200283
437	1368.061168
438	1367.931052
439	1367.802529
440	1367.675766
441	1367.543227
442	1367.419365
443	1367.297311
444	1367.176442
445	1367.057174
446	1366.939217
447	1366.822957
448	1366.682718
449	1366.562465
450	1366.450552
451	1366.339758
452	1366.216068
453	1366.108297
454	1366.001615
455	1365.89622
456	1365.79212
457	1365.682783
458	1365.581157
459	1365.480752
460	1365.381553
461	1365.283544
462	1365.186712
463	1365.091175
464	1364.996641
465	1364.903239
466	1364.80475
467	1364.71358
468	1364.611676
469	1364.52289
470	1364.435063
471	1364.348282
472	1364.262534
473	1364.177806
474	1364.093996
475	1364.011264
476	1363.929514
477	1363.848733
478	1363.76891
479	1363.689925
480	1363.611976
481	1363.534839
482	1363.452831
483	1363.37762
484	1363.303318
485	1363.22975
486	1363.157046
487	1363.085321
488	1363.014309
489	1362.938542
490	1362.869306
491	1362.804224
492	1362.73632
493	1362.663798
494	1362.597599
495	1362.532178
496	1362.467525
497	1362.403508
498	1362.340239
499	1362.277794
500	1362.216112
501	1362.155152
502	1362.094905
503	1362.035364
504	1361.971192
505	1361.91291
506	1361.855436
507	1361.798567
508	1361.742424
509	1361.68175
510	1361.621846
511	1361.562702
512	1361.509038
513	1361.455971
514	1361.403521
515	1361.351807
516	1361.300577
517	1361.249939
518	1361.195164
519	1361.145681
520	1361.092164
521	1361.043808
522	1360.996151
523	1360.948901
524	1360.902339
525	1360.851683
526	1360.806196
527	1360.761074
528	1360.71647
529	1360.67238
530	1360.624405
531	1360.577037
532	1360.53448
533	1360.492414
534	1360.450773
535	1360.405454
536	1360.364952
537	1360.320675
538	1360.279522
539	1360.236214
540	1360.197476
541	1360.158955
542	1360.120876
543	1360.079415
544	1360.038476
545	1360.001663
546	1359.965272
547	1359.925659
548	1359.890082
549	1359.851359
550	1359.816577
551	1359.778724
552	1359.744717
553	1359.707714
554	1359.671175
555	1359.638289
556	1359.605778
557	1359.57394
558	1359.542163
559	1359.507509
560	1359.47329
561	1359.442556
562	1359.4091
563	1359.379045
564	1359.349333
565	1359.31996
566	1359.287887
567	1359.259162
568	1359.227802
569	1359.200061
570	1359.169411
571	1359.139408
572	1359.109729
573	1359.082792
574	1359.053395
575	1359.024368
576	1358.995704
577	1358.96745
578	1358.939501
579	1358.914226
580	1358.886733
581	1358.862013
582	1358.837574
583	1358.81093
584	1358.787009
585	1358.760896
586	1358.735111
587	1358.709649
588	1358.686746
589	1358.661845
590	1358.639442
591	1358.61476
592	1358.592833
593	1358.568947
594	1358.544981
595	1358.523746
596	1358.50025
597	1358.477339
598	1358.454319
599	1358.433958
600	1358.41383
601	1358.393931
602	1358.37176
603	1358.349828
604	1358.330545
605	1358.309042
606	1358.287772
607	1358.266731
608	1358.245918
609	1358.225575
610	1358.205183
611	1358.185012
612	1358.165058
613	1358.145321
614	1358.1279
615	1358.110677
616	1358.091495
617	1358.072519
618	1358.055827
619	1358.037221
620	1358.018977
621	1358.000966
622	1357.98497
623	1357.969157
624	1357.951412
625	1357.933859
626	1357.918533
627	1357.901321
628	1357.884295
629	1357.867453
630	1357.850794
631	1357.834315
632	1357.818014
633	1357.80189
634	1357.78594
635	1357.770164
636	1357.754557
637	1357.73912
638	1357.72385
639	1357.708746
640	1357.693804
641	1357.679025
642	1357.664405
643	1357.649944
644	1357.635639
645	1357.621489
646	1357.607493
647	1357.593647
648	1357.579952
649	1357.566405
650	1357.553004
651	1357.539749
652	1357.526636
653	1357.514868
654	1357.502009
655	1357.48929
656	1357.476709
657	1357.464263
658	1357.451953
659	1357.439775
660	1357.42773
661	1357.415814
662	1357.404028
663	1357.392369
664	1357.380837
665	1357.369429
666	1357.358145
667	1357.343631
668	1357.332605
669	1357.318438
670	1357.307664
671	1357.293834
672	1357.283306
673	1357.272891
674	1357.259517
675	1357.246337
676	1357.23335
677	1357.22055
678	1357.210737
679	1357.201031
680	1357.188652
681	1357.179165
682	1357.169782
683	1357.157809
684	1357.146009
685	1357.136948
686	1357.125428
687	1357.116572
688	1357.105324
689	1357.094238
690	1357.085686
691	1357.074862
692	1357.066503
693	1357.055934
694	1357.045517
695	1357.037443
696	1357.027271
697	1357.019379
698	1357.009447
699	1356.999657
700	1356.992034
701	1356.982474
702	1356.975022
703	1356.967651
704	1356.958402
705	1356.949285
706	1356.940298
707	1356.933261
708	1356.926299
709	1356.917604
710	1356.909034
711	1356.900585
712	1356.893937
713	1356.885686
714	1356.879187
715	1356.871129
716	1356.864775
717	1356.858489
718	1356.850692
719	1356.843005
720	1356.835428
721	1356.829424
722	1356.822023
723	1356.816153
724	1356.808924
725	1356.803184
726	1356.796124
727	1356.789163
728	1356.783615
729	1356.778127
730	1356.771391
731	1356.764751
732	1356.759446
733	1356.752959
734	1356.746564
735	1356.741436
736	1356.735189
737	1356.730174
738	1356.724072
739	1356.719168
740	1356.713207
741	1356.70733
742	1356.702589
743	1356.696847
744	1356.692211
745	1356.686602
746	1356.682068
747	1356.676589
748	1356.671187
749	1356.666802
750	1356.661524
751	1356.657236
752	1356.65208
753	1356.646996
754	1356.642849
755	1356.637882
756	1356.633826
757	1356.628974
758	1356.625006
759	1356.620266
760	1356.616385
761	1356.611754
762	1356.607187
763	1356.603433
764	1356.598972
765	1356.595299
766	1356.59094
767	1356.586642
768	1356.58309
769	1356.57889
770	1356.575415
771	1356.571311
772	1356.567912
773	1356.563903
774	1356.560039
775	1356.556222
776	1356.552451
777	1356.549231
778	1356.54554
779	1356.542389
780	1356.538777
781	1356.535694
782	1356.532073
783	1356.528582
784	1356.525132
785	1356.521725
786	1356.518358
787	1356.515033
788	1356.512173
789	1356.508918
790	1356.506121
791	1356.503353
792	1356.500197
793	1356.497489
794	1356.494326
795	1356.491275
796	1356.48826
797	1356.485282
798	1356.482339
799	1356.479432
800	1356.47656
801	1356.474076
802	1356.471619
803	1356.468834
804	1356.46643
805	1356.464052
806	1356.4617
807	1356.459024
808	1356.456723
809	1356.454042
810	1356.451456
811	1356.4489
812	1356.446375
813	1356.443881
814	1356.441417
815	1356.438982
816	1356.43687
817	1356.434487
818	1356.432421
819	1356.430377
820	1356.428356
821	1356.426067
822	1356.424089
823	1356.421795
824	1356.419582
825	1356.417395
826	1356.415234
827	1356.413099
828	1356.41099
829	1356.408906
830	1356.407091
831	1356.405297
832	1356.403522
833	1356.40152
834	1356.399783
835	1356.397778
836	1356.395842
837	1356.393929
838	1356.39204
839	1356.390173
840	1356.388328
841	1356.386505
842	1356.384911
843	1356.383127
844	1356.381568
845	1356.380026
846	1356.378501
847	1356.376747
848	1356.375054
849	1356.373381
850	1356.371728
851	1356.370095
852	1356.368481
853	1356.366886
854	1356.365487
855	1356.363926
856	1356.362557
857	1356.361203
858	1356.35969
859	1356.358365
860	1356.357054
861	1356.355552
862	1356.354103
863	1356.35267
864	1356.351255
865	1356.349856
866	1356.348474
867	1356.347109
868	1356.345906
869	1356.34457
870	1356.343393
871	1356.34223
872	1356.341079
873	1356.339795
874	1356.338669
875	1356.337383
876	1356.336141
877	1356.334915
878	1356.333702
879	1356.332505
880	1356.331321
881	1356.330152
882	1356.329118
883	1356.328097
884	1356.327086
885	1356.325963
886	1356.324974
887	1356.323848
888	1356.322762
889	1356.321689
890	1356.320628
891	1356.31958
892	1356.318544
893	1356.317521
894	1356.316613
895	1356.315716
896	1356.314829
897	1356.313846
898	1356.312978
899	1356.312119
900	1356.311143
901	1356.310202
902	1356.309271
903	1356.308352
904	1356.307443
905	1356.306545
906	1356.305658
907	1356.30487
908	1356.304091
909	1356.303231
910	1356.302468
911	1356.301714
912	1356.30086
913	1356.300036
914	1356.299221
915	1356.298417
916	1356.297622
917	1356.296836
918	1356.296059
919	1356.295367
920	1356.294683
921	1356.294006
922	1356.293261
923	1356.292611
924	1356.29197
925	1356.291337
926	1356.290712
927	1356.290094
928	1356.289484
929	1356.288882
930	1356.288287
931	1356.2877
932	1356.28712
933	1356.286547
934	1356.285981
935	1356.285422
936	1356.28487
937	1356.284324
938	1356.283786
939	1356.283254
940	1356.282728
941	1356.282209
942	1356.281697
943	1356.28119
944	1356.28069
945	1356.280196
946	1356.279708
947	1356.279226
948	1356.27875
949	1356.278279
950	1356.277814
951	1356.277355
952	1356.276902
953	1356.276454
954	1356.276011
955	1356.275574
956	1356.275142
957	1356.274617
958	1356.274195
959	1356.273778
960	1356.273367
961	1356.27296
962	1356.272558
963	1356.272161
964	1356.271769
965	1356.271382
966	1356.270999
967	1356.270621
968	1356.270247
969	1356.269778
970	1356.269413
971	1356.269052
972	1356.268696
973	1356.268344
974	1356.267996
975	1356.267653
976	1356.267313
977	1356.26696
978	1356.266528
979	1356.266101
980	1356.26576
981	1356.265342
982	1356.265009
983	1356.264599
984	1356.264273
985	1356.263871
986	1356.263554
987	1356.26316
988	1356.26285
989	1356.262463
990	1356.26216
991	1356.261782
992	1356.261486
993	1356.261115
994	1356.260825
995	1356.260462
996	1356.260179
997	1356.259822
998	1356.259489
999	1356.25914
