iter	RMSE
0	2529.99716
1	2525.185538
2	2511.21488
3	2501.006351
4	2491.483641
5	2484.211971
6	2471.262157
7	2457.941478
8	2451.547601
9	2441.679559
10	2435.606793
11	2430.858553
12	2417.738678
13	2403.788793
14	2390.56169
15	2378.990836
16	2372.501307
17	2359.670599
18	2346.741101
19	2334.291446
20	2325.777102
21	2322.04834
22	2314.234074
23	2312.017837
24	2300.038638
25	2297.183128
26	2284.970128
27	2279.86852
28	2267.881702
29	2256.018838
30	2251.296705
31	2243.461047
32	2238.350396
33	2226.902626
34	2215.558232
35	2207.253026
36	2198.89009
37	2188.083706
38	2180.115573
39	2172.723209
40	2165.292505
41	2162.976067
42	2155.003362
43	2152.342638
44	2142.753477
45	2140.125712
46	2133.059277
47	2125.986904
48	2116.056658
49	2107.095859
50	2099.761226
51	2090.401537
52	2080.553847
53	2072.595005
54	2063.818179
55	2059.931173
56	2056.103003
57	2047.49561
58	2041.684518
59	2038.642548
60	2030.336811
61	2027.262457
62	2023.654791
63	2021.717273
64	2018.930185
65	2013.316787
66	2007.091799
67	1999.223051
68	1992.36778
69	1984.081794
70	1977.916954
71	1972.782092
72	1964.459652
73	1956.469227
74	1949.347266
75	1947.697921
76	1946.145957
77	1940.447556
78	1935.853849
79	1928.676993
80	1921.849831
81	1917.294097
82	1910.111742
83	1904.332572
84	1899.847571
85	1898.332946
86	1891.444054
87	1884.766672
88	1879.127018
89	1873.910159
90	1872.467591
91	1867.537263
92	1863.153259
93	1857.117117
94	1850.911198
95	1844.217332
96	1838.335783
97	1831.676054
98	1825.803761
99	1821.211347
100	1815.051901
101	1814.041281
102	1808.596252
103	1804.351377
104	1803.7195
105	1798.47916
106	1796.441313
107	1795.065925
108	1790.220798
109	1786.762986
110	1783.342109
111	1778.375121
112	1774.895127
113	1769.64072
114	1765.127746
115	1759.470881
116	1753.826495
117	1749.71926
118	1746.528017
119	1745.361478
120	1740.589878
121	1735.334514
122	1730.134986
123	1725.886626
124	1722.818859
125	1720.938668
126	1716.771521
127	1712.676312
128	1707.508234
129	1702.618093
130	1700.613454
131	1697.705842
132	1695.735671
133	1692.061376
134	1690.086068
135	1686.74341
136	1682.928317
137	1678.245232
138	1674.59057
139	1670.350013
140	1666.92657
141	1664.335123
142	1661.991275
143	1657.952643
144	1654.370361
145	1650.06771
146	1648.693795
147	1645.47402
148	1642.76634
149	1639.743569
150	1638.733981
151	1635.591752
152	1632.929284
153	1630.093744
154	1626.319189
155	1623.498013
156	1622.402167
157	1619.538382
158	1615.971573
159	1613.299135
160	1612.684877
161	1610.519647
162	1606.858065
163	1604.119287
164	1600.515003
165	1598.07441
166	1594.661431
167	1591.69355
168	1588.306984
169	1585.790853
170	1583.021153
171	1580.31715
172	1578.08926
173	1576.145953
174	1573.922691
175	1572.01661
176	1569.537578
177	1567.293206
178	1566.601038
179	1565.715892
180	1563.150518
181	1561.887038
182	1560.633253
183	1558.463979
184	1555.836143
185	1553.551654
186	1551.746492
187	1549.96131
188	1547.229014
189	1544.69259
190	1542.388587
191	1540.127904
192	1538.51652
193	1536.311136
194	1534.335846
195	1533.040602
196	1530.514844
197	1527.973806
198	1525.872105
199	1523.522469
200	1521.760752
201	1519.588657
202	1517.596068
203	1515.758156
